Rtg,Rtg,Str,Dis,High,Stock,Symbol,Price,Chg,Chg
99,99,98,B-,49.7,Tecnoglass,TGLS,48.28,-0.11,-38
99,99,97,A+,58.7,Amphastar,AMPH,57.16,-1.22,30
99,99,96,B-,535.1,HubSpot,HUBS,512.21,-6.14,-25
99,99,93,C+,48.7,Allegro Micro,ALGM,41.25,-0.88,13
99,99,91,B-,53,Dynatrace,DT,50.58,-0.44,-27
99,99,91,C-,96.8,LatticeSemi,LSCC,85.35,-2.95,-30
99,99,90,B,74.8,Fortinet,FTNT,71.59,-0.27,172
99,99,90,B,576.7,ServiceNow,NOW,542.99,-6.88,-20
99,99,87,B,120.8,Datadog,DDOG,93.67,-0.83,-45
99,98,94,B+,249.3,PaloAltNts,PANW,243.94,-5.21,-7
99,98,91,B-,226.1,Workday,WDAY,222.25,1.25,34
99,98,86,B,553.6,Monolithic Pwr,MPWR,506,-6.24,-15
99,97,99,B+,113.4,ELF Beauty,ELF,108.45,-4.36,-2
99,97,98,B,184.4,AxcelisTch,ACLS,168.47,-1.56,-10
99,97,98,B,68.5,Rambus,RMBS,59.27,-1.73,31
99,97,95,B,76.5,TollBros,TOL,76.1,0.28,29
99,97,93,A+,25.8,Photronics,PLAB,23.04,-1.03,263
99,95,89,B-,747.1,ASML,ASML,697.89,-19.52,-9
99,94,91,B,377.5,ParkHanifn,PH,370.12,-0.89,25
99,93,98,B+,57.2,Green Brick,GRBK,54.63,-1,16
99,93,92,A-,314.7,Tesla,TSLA,256.6,-8.01,27
99,92,96,A+,25.1,ExtremeNtk,EXTR,23.3,-0.94,17
99,91,94,A-,38.5,DoubleVerify,DV,37.3,-0.76,200
99,88,91,B-,142.5,ApMat,AMAT,136.07,-2.85,5
99,83,97,A-,398.9,MongoDB,MDB,389.99,1.63,67
99,83,94,B+,114.5,CopaHldng,CPA,110.44,-0.01,416
99,83,92,A+,43.2,DeltaAir,DAL,42.86,-0.08,52
99,81,86,B,144.6,Airbnb,ABNB,124.64,-3.32,-15
99,78,99,B+,44.3,Aehr Test,AEHR,39.95,-1.51,338
99,74,92,A,41.5,Li Auto,LI,33.22,-1.18,-39
99,72,92,A,9.8,ArcosDorad,ARCO,9.95,0.27,244
98,99,96,B-,76.3,PulteGrp,PHM,76.27,0.22,27
98,99,88,C+,41.8,InMode,INMD,35.97,-0.56,868
98,98,92,B,19.9,SciPlay,SCPL,19.55,-0.01,44
98,98,69,B+,120.4,Five9,FIVN,77.27,1.76,14
98,97,90,B,482,UntdRental,URI,404.38,1.91,6
98,97,84,A-,53.5,STmicroelc,STM,46.47,-1.52,-11
98,96,93,A+,518.7,Adobe Inc,ADBE,484.72,7.14,7
98,96,83,B+,87.8,Microchip,MCHP,81.97,-1.15,-20
98,95,93,D,100.8,Lantheus,LNTH,92.52,0.74,13
98,95,90,B,482.2,KLA Corp,KLAC,456.95,-10.43,-24
98,94,95,B+,921.8,Broadcom,AVGO,822.15,-20.28,20
98,94,94,B+,326.6,Hubbell,HUBB,317.07,-4.36,115
98,93,92,A-,175,Wesco,WCC,167.9,0.3,46
98,93,87,A,26.5,Dropbox A,DBX,26.33,-0.1,3
98,92,93,B,78.6,Trade Desk A,TTD,76.24,-0.56,-5
98,91,90,B,351.5,Microsoft,MSFT,335.01,-4.7,-20
98,88,91,B+,48.9,NventElectric,NVT,48.19,0.34,74
98,87,95,A+,127.5,Oracle,ORCL,118.64,-1.94,69
98,85,94,A-,29.2,PGT Innova,PGTI,28.06,-0.35,81
98,84,90,B-,65.2,Ingersoll-Rand,IR,63.37,-0.15,133
98,81,99,B,21.8,Opera Ltd,OPRA,17.26,-0.23,17
98,81,98,A,23.4,Vertiv,VRT,23.64,0.33,19
98,81,97,A-,19.7,IntegAdSci,IAS,18.16,0.39,140
98,81,97,B,17.2,Palantir,PLTR,14.03,-0.02,-10
98,81,92,B,18.1,QualtricsA,XM,18.05,0.01,-29
98,81,91,A,28,Jfrog,FROG,26.54,0.01,-47
98,80,89,B,47.3,HowmetAero,HWM,46.35,-0.21,69
98,76,90,B+,43.3,ATI Inc,ATI,39.25,-1.09,52
98,73,92,B,55,UnitedAirlines,UAL,52.65,-0.4,-39
98,61,95,A,10.2,SofiTech,SOFI,8.28,-0.21,10
97,99,90,B+,229.9,AxonEnterp,AXON,188.71,-8.21,-8
97,99,76,B,194.2,Zscaler,ZS,142.7,-2.14,-55
97,98,91,B,134.1,Dexcom,DXCM,126.75,0.23,21
97,98,91,B-,13.9,Legalzoom,LZ,12.16,-0.17,33
97,98,81,D+,90.2,Intractiv Brks,IBKR,80.01,0.45,36
97,97,93,B,25.6,Dorian LPG,LPG,24.17,-0.96,91
97,97,91,C+,78.3,ArchCaptl,ACGL,72.41,-0.2,34
97,96,89,C-,242.7,Cadence,CDNS,225.32,-1.68,243
97,96,72,B+,13.9,OwlRckCaptl,ORCC,13.25,-0.25,-4
97,95,99,A,270.2,SuperMicro,SMCI,216.06,-10.4,-5
97,95,82,B,68.4,Brwn&Brwn,BRO,66.43,0.42,105
97,95,77,B,84.8,Bruker,BRKR,72.83,-0.68,-20
97,94,88,C-,173,NovoNrdsk,NVO,159.07,-0.95,-48
97,94,86,C+,150.4,ChurchlDwns,CHDN,130.63,-3.26,40
