Rtg,Rtg,Str,Dis,High,Stock,Symbol,Price,Chg,Chg
99,99,98,B,51.2,Tecnoglass,TGLS,51.01,0.2,-6
99,99,96,A-,58.7,Amphastar,AMPH,55.62,-0.52,-12
99,99,96,B-,535.1,HubSpot,HUBS,524.68,8.89,-21
99,99,93,C,48.7,Allegro Micro,ALGM,42.06,-0.53,-53
99,99,93,C-,96.8,LatticeSemi,LSCC,91.68,0.69,-33
99,99,90,B-,53,Dynatrace,DT,51.2,0.71,9
99,99,90,B-,74.8,Fortinet,FTNT,74.33,0.67,9
99,99,90,B,576.7,ServiceNow,NOW,548.67,8.71,-42
99,99,89,B,120.8,Datadog,DDOG,98.15,2.46,2
99,98,95,A-,253.5,PaloAltNts,PANW,253.41,1.82,-38
99,98,90,B-,226.1,Workday,WDAY,222.96,-1.26,-1
99,98,89,B,553.6,Monolithic Pwr,MPWR,527.27,-5.54,-18
99,97,99,B+,113.4,ELF Beauty,ELF,110.56,0.47,-7
99,97,98,B,184.4,AxcelisTch,ACLS,174.67,0.5,-20
99,97,97,B-,68.5,Rambus,RMBS,59.83,0.13,-7
99,97,95,B+,78.4,TollBros,TOL,78.55,0.21,6
99,97,94,B+,25.8,Photronics,PLAB,24.5,0.35,-32
99,97,91,B-,180.2,EmcorGrp,EME,179.36,-0.52,-7
99,95,91,B-,747.1,ASML,ASML,724.19,-0.89,-21
99,94,91,B,382.1,ParkHanifn,PH,382.45,2.26,-21
99,93,99,B+,57.2,Green Brick,GRBK,55.35,0.16,-40
99,93,92,B,314.7,Tesla,TSLA,256.24,6.03,11
99,92,97,A,25.1,ExtremeNtk,EXTR,24.23,1.42,64
99,91,95,B+,38.5,DoubleVerify,DV,38.5,0.7,-33
99,88,93,B,146.7,ApMat,AMAT,144.03,-2.52,10
99,83,97,A-,398.9,MongoDB,MDB,398.02,9.68,44
99,83,94,A+,46.3,DeltaAir,DAL,46.71,0.62,64
99,83,92,B+,114.5,CopaHldng,CPA,106.96,-1.87,-12
99,81,97,A,19.7,IntegAdSci,IAS,18.15,0.01,-30
99,81,87,B-,144.6,Airbnb,ABNB,127.63,-0.26,-10
99,80,90,B+,48.1,HowmetAero,HWM,48.11,0.01,-21
99,74,93,A,40.9,Li Auto,LI,35.07,0.36,-24
99,72,90,A+,10.2,ArcosDorad,ARCO,9.82,-0.2,-6
98,99,96,B-,78.8,PulteGrp,PHM,77.72,-0.95,1
98,99,87,C-,41.8,InMode,INMD,36.66,0.84,-48
98,98,91,B,19.9,SciPlay,SCPL,19.68,0.16,-48
98,98,70,B+,120.4,Five9,FIVN,78.47,0.08,-46
98,97,92,B,482,UntdRental,URI,430.37,7.1,-10
98,97,87,B+,53.5,STmicroelc,STM,48.23,0.19,-16
98,96,93,A+,518.7,Adobe Inc,ADBE,482.43,-6.84,-25
98,96,87,B+,87.8,Microchip,MCHP,85.88,-0.9,-24
98,95,91,B,482.2,KLA Corp,KLAC,474.43,-2.5,-32
98,94,95,B,921.8,Broadcom,AVGO,847.94,-0.46,-39
98,94,94,B-,326.6,Hubbell,HUBB,321.82,-1.5,60
98,93,92,A-,175,Wesco,WCC,176.21,2.81,-32
98,93,88,A,26.6,Dropbox A,DBX,26.72,0.58,-30
98,92,94,B,78.6,Trade Desk A,TTD,78.25,1.48,-12
98,91,90,B,351.5,Microsoft,MSFT,335.85,1.28,-32
98,88,93,A-,51,NventElectric,NVT,50.77,-0.01,47
98,87,95,A-,127.5,Oracle,ORCL,116.53,-1.31,-15
98,84,89,B-,65.2,Ingersoll-Rand,IR,63.66,-0.27,25
98,83,98,B+,34,Modine,MOD,32.93,0.96,-20
98,81,99,B+,21.8,Opera Ltd,OPRA,18.18,0.29,77
98,81,98,B,17.2,Palantir,PLTR,15.28,0.67,-22
98,81,98,A,24.3,Vertiv,VRT,23.35,-0.45,-8
98,81,92,A,28,Jfrog,FROG,28,0.65,3
98,80,88,C+,16.7,Ford Motor,F,14.79,0.38,-7
98,79,99,B-,44.3,Aehr Test,AEHR,39.57,-0.12,-48
98,76,92,B-,43.3,ATI Inc,ATI,41.59,0.76,-6
98,73,94,B+,56.4,UnitedAirlines,UAL,56.3,0.27,7
98,70,89,B-,54,AlaskaAir,ALK,52.44,0.51,-20
98,69,86,B+,9.3,Jetblue,JBLU,8.73,-0.03,20
98,68,99,A-,439.9,Nvidia,NVDA,411.17,-7.59,17
98,63,99,A+,10.6,WeaveComms,WEAV,10.81,0.53,-30
98,61,96,A,10.2,SofiTech,SOFI,8.87,0.23,-38
98,53,93,A,111.7,Fomento,FMX,109.87,-0.87,16
